"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1035","9.9674505304367522E-1","1.0561183172695937E-24","5.7294142009427749E-22","5.6411924143240348E-11","1.1599287769243227E+0","1.2981111885749377E-19","4.3381519907576704E+0","4.8200636332661542E-2","2.1365673425374401E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1034","9.9675847247143612E-1","-6.5079167554636350E-25","3.2068879946857745E-22","5.8696253143018717E-11","1.1590351992419079E+0","-8.4608501095404248E-20","4.3361100363526104E+0","4.8310626497860824E-2","2.1414428257850718E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1033","9.9679215203567839E-1","3.9235890038415213E-25","-1.1778776296326389E-22","5.8595236041894009E-11","1.1568012716999299E+0","-4.4014305484160731E-22","4.3310123601623802E+0","4.8587058495617105E-2","2.1536960992639168E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1032","9.9682601982702079E-1","-6.5327702795428447E-25","1.9000012588031859E-21","5.8442234623126236E-11","1.1545673682047226E+0","-2.9922220843796287E-19","4.3259249850610599E+0","4.8865586957076441E-2","2.1660423017209571E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1031","9.9686007722007319E-1","1.8327916098151490E-24","1.4422817015653437E-21","5.8355467667155666E-11","1.1523334890865036E+0","-3.8478643157048198E-20","4.3208479127380501E+0","4.9146231602916278E-2","2.1784823073055531E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1030","9.9689432560180180E-1","1.7372509297446780E-25","1.6424094220788472E-21","5.6689998886878198E-11","1.1500996346612262E+0","-1.4025284252300293E-19","4.3157811448945704E+0","4.9429012374235332E-2","2.1910169999375761E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1029","9.9692876637138639E-1","1.0857540777417755E-24","-6.4658654190803735E-23","5.9167285046560217E-11","1.1478658052650901E+0","-4.4399845285338602E-20","4.3107246832449899E+0","4.9713949435393423E-2","2.2036472734332901E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1028","9.9696340094055480E-1","1.2624671325321203E-24","-5.8301503847802291E-22","6.1316211282021780E-11","1.1456320012278511E+0","5.1510281599080882E-20","4.3056785295163902E+0","5.0001063176892298E-2","2.2163740316330480E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1027","9.9699823073354021E-1","-9.5962390311135146E-25","-3.0411088970856240E-22","6.0493547822824448E-11","1.1433982228949549E+0","-1.4028985335389872E-20","4.3006426854486399E+0","5.0290374218295859E-2","2.2291981885307335E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1026","9.9703325718740776E-1","1.9442550567541450E-24","-9.9456987595143324E-22","6.2327747197152248E-11","1.1411644706025954E+0","1.4535811928328279E-20","4.2956171527940601E+0","5.0581903411194805E-2","2.2421206684051770E-1","1.0000000000000000E+0","1.215058560962404E-2"
