"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1168","-1.8962619535326684E+0","5.5715660690913972E-23","2.9444541270280402E-14","-2.8802516333447325E-11","1.6714532608216346E+0","-3.9125903297241485E-5","1.8590896984725001E+0","6.2616198402806775E+0","2.7755593037809735E+1","1.0498623014836299E+0","1.215058560962404E-2"
"1167","-1.8962618790946888E+0","9.2979062764150749E-23","-8.2468590209370162E-14","1.5366217327718514E-11","1.6714533197336512E+0","-3.2159876148057877E-4","1.8590891589786500E+0","6.2616198417162563E+0","2.7755593044173164E+1","1.0498624375352199E+0","1.215058560962404E-2"
"1166","-1.8962609566168072E+0","-6.2224749480686951E-23","-1.6881666593345714E-13","3.2088229463519899E-12","1.6714540507444542E+0","-1.1690131619405888E-3","1.8590824696971999E+0","6.2616198595732078E+0","2.7755593123326847E+1","1.0498641231534100E+0","1.215058560962404E-2"
"1165","-1.8962589853084775E+0","-1.4183860623656262E-22","-9.5713607730513412E-14","-4.8502017624974226E-12","1.6714556128891163E+0","-2.0164132093134874E-3","1.8590681749338400E+0","6.2616198977339730E+0","2.7755593292480306E+1","1.0498677252382800E+0","1.215058560962404E-2"
"1164","-1.8962559652205817E+0","-6.2911798188514327E-23","-1.5603436232920928E-12","3.3692923518847620E-11","1.6714580060685549E+0","-2.8637885008547899E-3","1.8590462753251500E+0","6.2616199561966503E+0","2.7755593551625115E+1","1.0498732435338700E+0","1.215058560962404E-2"
"1163","-1.8962518964313826E+0","5.0096904006435815E-23","1.0655076040621873E-12","-3.0894818399601013E-11","1.6714612301326643E+0","-3.7111286367036396E-3","1.8590167718416899E+0","6.2616200349586713E+0","2.7755593900749890E+1","1.0498806775144101E+0","1.215058560962404E-2"
"1162","-1.8962467790582807E+0","9.8712071963876542E-24","-8.9876054543719865E-13","6.4016391245146910E-12","1.6714652849040257E+0","-4.5584232209459133E-3","1.8589796657467601E+0","6.2616201340175106E+0","2.7755594339843427E+1","1.0498900267763400E+0","1.215058560962404E-2"
"1161","-1.8962406132326495E+0","1.4141174490267614E-22","1.2793549361179309E-12","-2.6993043263960637E-11","1.6714701701253640E+0","-5.4056618630566131E-3","1.8589349586905799E+0","6.2616202533687568E+0","2.7755594868886185E+1","1.0499012906206600E+0","1.215058560962404E-2"
"1160","-1.8962333991273130E+0","6.4685042408084163E-23","3.0962259091724641E-13","-1.3049913454852328E-11","1.6714758855177765E+0","-6.2528341787807182E-3","1.8588826526044300E+0","6.2616203930081920E+0","2.7755595487859463E+1","1.0499144681276300E+0","1.215058560962404E-2"
"1159","-1.8962251369335468E+0","1.1465114856346709E-22","-1.6653176784023153E-12","9.2164452095222621E-12","1.6714824307316813E+0","-7.0999297916309202E-3","1.8588227497901699E+0","6.2616205529300659E+0","2.7755596196737763E+1","1.0499295583413200E+0","1.215058560962404E-2"
"1158","-1.8962158268753679E+0","1.9974420770893379E-22","-1.0984991451587307E-12","1.7075107203771330E-12","1.6714898053780987E+0","-7.9469383338698265E-3","1.8587552528617799E+0","6.2616207331282290E+0","2.7755596995493839E+1","1.0499465602286500E+0","1.215058560962404E-2"
"1157","-1.8962054692062564E+0","2.0979502700977837E-23","-4.9062121101879684E-12","3.4399883280958612E-11","1.6714980090209985E+0","-8.7938494477258766E-3","1.8586801647602500E+0","6.2616209335957453E+0","2.7755597884096940E+1","1.0499654724779599E+0","1.215058560962404E-2"
"1156","-1.8961940642035158E+0","-4.3853258021971529E-23","-5.2216781277381239E-12","3.3071253599729397E-11","1.6715070411661415E+0","-9.6406527867060349E-3","1.8585974887724701E+0","6.2616211543246489E+0","2.7755598862511754E+1","1.0499862937285300E+0","1.215058560962404E-2"
"1155","-1.8961816121754211E+0","-8.1223257391510608E-23","-2.0381314859009060E-12","5.9616123526036930E-12","1.6715169012761422E+0","-1.0487338016620848E-2","1.8585072285039099E+0","6.2616213953063475E+0","2.7755599930700200E+1","1.0500090225784000E+0","1.215058560962404E-2"
"1154","-1.8961681134581123E+0","8.8350854899179288E-23","2.4735245589084952E-12","-2.5665055393684236E-11","1.6715275887640977E+0","-1.1333894816810710E-2","1.8584093878896899E+0","6.2616216565314833E+0","2.7755601088620789E+1","1.0500336566786499E+0","1.215058560962404E-2"
"1153","-1.8961535684261699E+0","3.6793714579762457E-26","6.7769944162417930E-12","-4.2616431137294273E-11","1.6715391030174853E+0","-1.2180312880931085E-2","1.8583039711486899E+0","6.2616219379909097E+0","2.7755602336232986E+1","1.0500601951095301E+0","1.215058560962404E-2"
"1152","-1.8961379774468454E+0","-7.6930058904695560E-23","-3.8474419183464806E-12","1.3983286150396863E-11","1.6715514432965060E+0","-1.3026581919816689E-2","1.8581909829752901E+0","6.2616222396712349E+0","2.7755603673477431E+1","1.0500886355514800E+0","1.215058560962404E-2"
"1151","-1.8961213409596653E+0","7.1559684455926365E-23","3.5286185280234626E-12","-2.8559691928631347E-11","1.6715646089124838E+0","-1.3872691659661360E-2","1.8580704282000799E+0","6.2616225615628194E+0","2.7755605100311389E+1","1.0501189759488201E+0","1.215058560962404E-2"
"1150","-1.8961036594106304E+0","-1.5591912250125051E-23","-8.1635451748813233E-12","3.4111915297047899E-11","1.6715785990792784E+0","-1.4718631845623015E-2","1.8579423120737300E+0","6.2616229036528903E+0","2.7755606616678246E+1","1.0501512140552900E+0","1.215058560962404E-2"
"1149","-1.8960849332681395E+0","4.7003411822666491E-23","-3.4014109465509803E-12","7.8630040701871908E-12","1.6715934129525081E+0","-1.5564392242442894E-2","1.8578066401870199E+0","6.2616232659276436E+0","2.7755608222516813E+1","1.0501853474878999E+0","1.215058560962404E-2"
"1148","-1.8960651630393917E+0","5.5973274247027643E-23","2.7550916487795619E-12","-2.2502125868428186E-11","1.6716090496632903E+0","-1.6409962634837887E-2","1.8576634184109500E+0","6.2616236483734404E+0","2.7755609917766630E+1","1.0502213737907800E+0","1.215058560962404E-2"
"1147","-1.8960443492515955E+0","6.3981756338970053E-23","-4.6436878064808001E-12","1.1939220019451487E-11","1.6716255082781861E+0","-1.7255332829477738E-2","1.8575126529695400E+0","6.2616240509752261E+0","2.7755611702360969E+1","1.0502592905645700E+0","1.215058560962404E-2"
"1146","-1.8960224924642899E+0","-8.7799956736382475E-23","-4.2453497230755656E-12","9.2317252615489365E-12","1.6716427878277891E+0","-1.8100492655515044E-2","1.8573543503839400E+0","6.2616244737176130E+0","2.7755613576231617E+1","1.0502990944944399E+0","1.215058560962404E-2"
"1145","-1.8959995932615186E+0","7.6119619217797548E-23","-4.5720427228371561E-12","9.7491290536131620E-12","1.6716608872882346E+0","-1.8945431966095421E-2","1.8571885175085601E+0","6.2616249165842035E+0","2.7755615539305900E+1","1.0503407829657201E+0","1.215058560962404E-2"
"1144","-1.8959756522550890E+0","-8.5416393591857292E-23","-4.9703006348987766E-12","1.0565044809232760E-11","1.6716798055897935E+0","-1.9790140639292918E-2","1.8570151615126700E+0","6.2616253795579278E+0","2.7755617591508138E+1","1.0503843528965100E+0","1.215058560962404E-2"
"1143","-1.8959506700836155E+0","6.3991047713950992E-23","-3.5831997729463902E-12","4.3991136697067763E-12","1.6716995416150446E+0","-2.0634608579261408E-2","1.8568342898830801E+0","6.2616258626209174E+0","2.7755619732759143E+1","1.0504298012505000E+0","1.215058560962404E-2"
"1142","-1.8959246474134932E+0","-1.5818389551500151E-22","-5.7779927058302901E-12","1.1939144898584484E-11","1.6717200942013513E+0","-2.1478825717257278E-2","1.8566459104187101E+0","6.2616263657546369E+0","2.7755621962976740E+1","1.0504771249696201E+0","1.215058560962404E-2"
"1141","-1.8958975849349036E+0","6.0678273672480589E-23","5.5229428130240265E-12","-2.8038961482032980E-11","1.6717414621330351E+0","-2.2322782012989390E-2","1.8564500312434900E+0","6.2616268889395652E+0","2.7755624282074407E+1","1.0505263197581900E+0","1.215058560962404E-2"
"1140","-1.8958694833717216E+0","1.3179704936917944E-22","-6.9312275061880428E-12","1.4272104567589821E-11","1.6717636441626493E+0","-2.3166467455003510E-2","1.8562466607669901E+0","6.2616274321559837E+0","2.7755626689964735E+1","1.0505773828139600E+0","1.215058560962404E-2"
"1139","-1.8958403434629931E+0","1.5232686684618031E-22","6.2469863291764661E-12","-2.9092566888407867E-11","1.6717866389725926E+0","-2.4009872063018314E-2","1.8560358077524299E+0","6.2616279953825895E+0","2.7755629186553293E+1","1.0506303098500800E+0","1.215058560962404E-2"
"1138","-1.8958101659872340E+0","-1.1234477167848305E-22","-8.0715836808902271E-12","1.6307808501153602E-11","1.6718104452267954E+0","-2.4852985887273905E-2","1.8558174812221599E+0","6.2616285785982893E+0","2.7755631771746586E+1","1.0506850972627000E+0","1.215058560962404E-2"
"1137","-1.8957789517371966E+0","5.3425249654599453E-23","4.8664339926474110E-12","-2.4171517292768411E-11","1.6718350615183590E+0","-2.5695799011375250E-2","1.8555916905507299E+0","6.2616291817803873E+0","2.7755634445444013E+1","1.0507417414676301E+0","1.215058560962404E-2"
"1136","-1.8957467015391058E+0","2.0251705646338057E-23","-3.7721672775636517E-12","2.0385336159087239E-12","1.6718604864097897E+0","-2.6538301551910639E-2","1.8553584453921601E+0","6.2616298049060308E+0","2.7755637207544268E+1","1.0508002379209700E+0","1.215058560962404E-2"
