"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1348","1.0665330882723545E+0","1.7538669561572182E-25","-5.2752645288172411E-33","-4.1035310442373802E-15","3.0863475065250201E-1","-2.2695641475287940E-31","3.1826669804004601E+0","1.3433297069213392E+0","5.9545155426167842E+0","1.0002136160003099E+0","1.215058560962404E-2"
"1347","1.0664483173291939E+0","-2.0453053305559761E-25","2.1058804970828657E-33","-6.0182308643225939E-15","3.0911472155698705E-1","1.4546392294109263E-31","3.1826667132771700E+0","1.3431484040021733E+0","5.9537118895414940E+0","1.0014970255183899E+0","1.215058560962404E-2"
"1346","1.0663637150488829E+0","1.8808334948263175E-25","-1.2790690682515593E-32","-2.4727625478525478E-15","3.0959487098439209E-1","-4.8790089096381005E-32","3.1826660395038902E+0","1.3429755209595395E+0","5.9529455588639895E+0","1.0027864110020801E+0","1.215058560962404E-2"
"1345","1.0662792845339488E+0","3.8832812130186522E-26","-4.3481282570947019E-33","7.2710266349216874E-16","3.1007519002244738E-1","-2.8393288748472874E-32","3.1826649509937899E+0","1.3428111894758374E+0","5.9522171342867587E+0","1.0040820204034999E+0","1.215058560962404E-2"
"1344","1.0661950289900000E+0","-1.9829118616374620E-26","3.9385599439873080E-33","-3.4084682830775541E-15","3.1055566939954110E-1","3.2003549283322840E-32","3.1826634394341302E+0","1.3426555452594198E+0","5.9515272173579490E+0","1.0053841107095201E+0","1.215058560962404E-2"
"1343","1.0661109517300766E+0","1.7429709353280770E-25","-1.4428022070096572E-32","-4.5222013240638491E-15","3.1103629946710687E-1","1.7391310791531504E-31","3.1826614962786799E+0","1.3425087281851398E+0","5.9508764280943618E+0","1.0066929471842401E+0","1.215058560962404E-2"
"1342","1.0660270561792533E+0","-1.1882648266827944E-25","9.5053874794267860E-33","4.0964265840592629E-16","3.1151707018103647E-1","1.2435289369499281E-31","3.1826591127398198E+0","1.3423708824424052E+0","5.9502654056377251E+0","1.0080088032644201E+0","1.215058560962404E-2"
"1341","1.0659433458793954E+0","-4.1090489685704688E-26","-6.7511579303601027E-34","7.4021397310403782E-16","3.1199797108213972E-1","5.2732257808025337E-31","3.1826562797803799E+0","1.3422421566857492E+0","5.9496948089221213E+0","1.0093319611964400E+0","1.215058560962404E-2"
"1340","1.0658598244942101E+0","1.7004543527145517E-25","2.1715847538220775E-33","-3.2148075629974493E-15","3.1247899127553330E-1","-4.9232619520048203E-31","3.1826529881051200E+0","1.3421227041940464E+0","5.9491653173797365E+0","1.0106627121716401E+0","1.215058560962404E-2"
"1339","1.0657764958144995E+0","-9.1479167321368972E-26","1.2989375676427454E-32","4.8999833699066917E-15","3.1296011940880908E-1","1.1771055421542421E-31","3.1826492281519698E+0","1.3420126830340933E+0","5.9486776316659595E+0","1.0120013567804800E+0","1.215058560962404E-2"
"1338","1.0674759045904161E+0","-1.2636169775162740E-25","-1.1989177655355509E-32","3.5236326217851855E-16","3.0336908857595601E-1","2.7578981199988058E-32","3.1826451875696198E+0","1.3458457336270704E+0","5.9656682179784051E+0","1.0000000000056599E+0","1.215058560962404E-2"
"1337","1.0675624898295573E+0","2.0185960519793648E-25","9.0287708052584120E-33","-7.9268727155740916E-15","3.0289184475183722E-1","1.6886481371322632E-31","3.1826411328097302E+0","1.3461190971188448E+0","5.9668799437015592E+0","1.0000000000096401E+0","1.215058560962404E-2"
"1336","1.0676492111091758E+0","3.6815661765226591E-26","4.9176574741200080E-33","6.1042623464139881E-15","3.0241486917222471E-1","4.7518625182705678E-32","3.1826367590112699E+0","1.3463994791934020E+0","5.9681227803724228E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1335","1.0677360664055049E+0","-6.7812038005816869E-26","1.0627948584947577E-32","-7.1881474796217044E-15","3.0193816714074323E-1","5.0484098707328407E-31","3.1826320717689698E+0","1.3466867922496952E+0","5.9693963396858809E+0","1.0000000000064500E+0","1.215058560962404E-2"
"1334","1.0678230537513091E+0","1.1988868269911436E-25","-3.4512058636081418E-33","-7.5261650861105890E-15","3.0146174378084661E-1","-4.0592910308541899E-31","3.1826270765391902E+0","1.3469809511148618E+0","5.9707002441001205E+0","1.0000000000007701E+0","1.215058560962404E-2"
"1333","1.0679101712337795E+0","-2.5102987406175768E-26","5.2784839139705557E-35","-3.2761879038771769E-15","3.0098560404346464E-1","-1.7704548444614965E-31","3.1826217786441999E+0","1.3472818729685065E+0","5.9720341265009997E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1332","1.0679974169924566E+0","-1.4595279494677799E-25","-8.4780605181058015E-33","-1.3712750052410779E-14","3.0050975271452607E-1","3.9860775398777728E-32","3.1826161832764401E+0","1.3475894772657562E+0","5.9733976298609797E+0","1.0000000000005900E+0","1.215058560962404E-2"
"1331","1.0651989385952993E+0","2.2562174950569214E-25","-1.2539923942022613E-33","1.4917432476180584E-15","3.1632997776568872E-1","-1.7201110515843879E-31","3.1826089331399401E+0","1.3415209765129719E+0","5.9464980668820218E+0","1.0216202956419900E+0","1.215058560962404E-2"
"1330","1.0651173052235290E+0","-1.8663597850081878E-25","4.4144926273802973E-33","8.2954652916663905E-15","3.1681149763475719E-1","-1.3253477739114940E-31","3.1826010475869699E+0","1.3414927298580972E+0","5.9463728592396894E+0","1.0230341693144900E+0","1.215058560962404E-2"
"1329","1.0650359053949008E+0","-7.0676171909900247E-26","-2.3954238574735960E-33","6.2840978976871451E-15","3.1729299844219738E-1","-2.3476322244625958E-31","3.1825925940968700E+0","1.3414755826965223E+0","5.9462968518086150E+0","1.0244591318062699E+0","1.215058560962404E-2"
"1328","1.0684355082382104E+0","-2.1248206777144923E-25","4.8956841786252777E-33","7.6567130453003509E-15","2.9813497901595265E-1","3.6521736528556193E-31","3.1825839174864701E+0","1.3492250667761616E+0","5.9806476319348336E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1327","1.0685234872798612E+0","7.5958916306719556E-28","2.5713229219523230E-32","-2.3303140089412476E-15","2.9766095025140082E-1","-2.7172968977697092E-31","3.1825766395413502E+0","1.3495711929644043E+0","5.9821818895016694E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1326","1.0686115828858180E+0","-3.4544861896329673E-26","-2.6665207727640475E-33","5.4165585851143320E-15","2.9718723933040014E-1","4.6965234327622811E-31","3.1825690971560201E+0","1.3499234957513075E+0","5.9837435257920850E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1325","1.0686997935503451E+0","2.9107526277449709E-26","-2.4187030537236929E-32","-7.0297840662457467E-15","2.9671384994739874E-1","4.1682321444811945E-31","3.1825612946181199E+0","1.3502819104019481E+0","5.9853322538585791E+0","1.0000000000065601E+0","1.215058560962404E-2"
"1324","1.0647127528797646E+0","5.7707383811734313E-26","-2.8989276690296258E-33","5.5590413181987397E-16","3.1921845039129682E-1","6.0940374864672432E-33","3.1825528393532898E+0","1.3415224227297513E+0","5.9465044774603379E+0","1.0302784479778100E+0","1.215058560962404E-2"
"1323","1.0646326061797013E+0","1.7189818093063439E-26","9.9994587753369324E-33","4.7309662791784664E-15","3.1969957800022047E-1","1.1073703389619081E-32","3.1825413466286698E+0","1.3415641623735324E+0","5.9466894948513458E+0","1.0317654210449001E+0","1.215058560962404E-2"
"1322","1.0645527287524970E+0","-1.2801176636924242E-25","9.4964662119880141E-33","2.5953242617846579E-15","3.2018056922405386E-1","4.6234872944960443E-32","3.1825292032827401E+0","1.3416184099021204E+0","5.9469299553655910E+0","1.0332662193802500E+0","1.215058560962404E-2"
