"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1364","1.0102654650808185E+0","-5.6349430130464849E-28","-8.6775521950159134E-33","2.3830111694554017E-13","7.1481090234293621E-1","-3.3428952851509183E-31","3.5261610366831699E+0","1.9789613320223262E-1","8.7720504869729432E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1363","1.0102938438518696E+0","9.5974124197090300E-28","7.4949813682016757E-33","4.2973837100086650E-13","7.1432007187104263E-1","-4.9061692355863073E-31","3.5254954700753101E+0","1.9828616491275128E-1","8.7893392424469763E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1362","1.0103507494127657E+0","2.6132574239987232E-27","7.2489114623241999E-33","-1.3489917471156488E-13","7.1333852588292712E-1","-1.2124518932121402E-31","3.5241660287906198E+0","1.9906918728506418E-1","8.8240479134614769E-1","1.0000000000088900E+0","1.215058560962404E-2"
"1361","1.0104078529758240E+0","3.7166222198429896E-27","7.0719797260582755E-33","-9.2619988383240331E-15","7.1235713439721926E-1","-1.2785673378752696E-31","3.5228388443009302E+0","1.9985617452145152E-1","8.8589323331744108E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1360","1.0104651553155415E+0","2.4575989169233137E-27","-5.9738975557093898E-33","2.2114514892629104E-13","7.1137589890284603E-1","-2.9087560691323471E-31","3.5215139176762000E+0","2.0064715026996738E-1","8.8939935498221434E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1359","1.0105226572087396E+0","-4.0146069581248710E-27","6.7188906104300309E-34","5.3927899512733380E-13","7.1039482090403261E-1","-1.1552054946512474E-31","3.5201912499920902E+0","2.0144213833179506E-1","8.9292326184287374E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1358","1.0105803594345177E+0","-2.4612281526406230E-27","2.4404585154215364E-33","-3.7846042708489765E-14","7.0941390192167630E-1","-1.6843178951237422E-31","3.5188708423298500E+0","2.0224116266222181E-1","8.9646506008491444E-1","1.0000000000094900E+0","1.215058560962404E-2"
"1357","1.0106382627742565E+0","1.2101308155784481E-27","7.4840698418901678E-33","3.2361557004785310E-14","7.0843314349288689E-1","-2.7046263029369133E-31","3.5175526957765300E+0","2.0304424737154783E-1","9.0002485658095055E-1","1.0000000000186799E+0","1.215058560962404E-2"
"1356","1.0106963680116112E+0","-6.3907663386368292E-28","8.8550768212450338E-33","2.9915448244699614E-13","7.0745254717089023E-1","8.4508451790219762E-32","3.5162368114250402E+0","2.0385141672605844E-1","9.0360275889502395E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1355","1.0107546759324748E+0","2.8903477672074479E-28","2.8221209599823937E-33","-9.1494968577554135E-14","7.0647211452591219E-1","-3.9609222546437635E-32","3.5149231903742999E+0","2.0466269514893268E-1","9.0719887528663223E-1","1.0000000000007601E+0","1.215058560962404E-2"
"1354","1.0108131873249668E+0","-7.2350178705767845E-28","-2.2816462898895683E-33","-4.7597586094730544E-14","7.0549184714558755E-1","2.5507232944622843E-31","3.5136118337287701E+0","2.0547810722126364E-1","9.1081331471525151E-1","1.0000000000034699E+0","1.215058560962404E-2"
"1353","1.0108719029794584E+0","-7.3555359382360825E-28","-3.3466324167910525E-34","-1.1520709656852949E-14","7.0451174663342997E-1","-3.8935137661947296E-31","3.5123027425990498E+0","2.0629767768295565E-1","9.1444618684431289E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1352","1.0109308236884735E+0","-1.7130821084521224E-27","4.7971939150736938E-33","-2.3784508552562270E-13","7.0353181461188075E-1","5.5681568726134641E-32","3.5109959181017398E+0","2.0712143143370526E-1","9.1809760204555102E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1351","1.0109899502467841E+0","-9.1555727623078796E-28","-9.9412468257162742E-33","-7.0212590718845561E-14","7.0255205271909638E-1","2.1369076704728200E-31","3.5096913613591498E+0","2.0794939353398423E-1","9.2176767140336169E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1350","1.0110492834512803E+0","-2.3562170583904510E-28","2.2101057036985239E-34","4.2314556596883656E-13","7.0157246261244288E-1","-4.7336181847302335E-32","3.5083890734998602E+0","2.0878158920596940E-1","9.2545650671892299E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1349","1.0111088241010238E+0","9.3213146708155979E-30","-2.9992150614055255E-33","-1.7893132123581353E-13","7.0059304596657224E-1","1.6182767417035848E-31","3.5070890556585099E+0","2.0961804383451763E-1","9.2916422051451752E-1","1.0000000000308700E+0","1.215058560962404E-2"
"1348","1.0111685729972371E+0","-1.1949431901138564E-27","-2.4856680281541616E-33","1.0963627233831797E-14","6.9961380447370825E-1","1.5372574392652498E-31","3.5057913089754300E+0","2.1045878296817724E-1","9.3289092603801527E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1347","1.0112285309432127E+0","5.5550848769859813E-28","-8.0426530024574106E-33","-1.5669891031885206E-13","6.9863473984555313E-1","1.3999216130722400E-31","3.5044958345975199E+0","2.1130383232009528E-1","9.3663673726689534E-1","1.0000000000033100E+0","1.215058560962404E-2"
"1346","1.0112886987443710E+0","4.5273564223074766E-28","-2.3155262411321744E-33","-6.6643889173211521E-14","6.9765585381156203E-1","8.5442546621157185E-32","3.5032026336775601E+0","2.1215321776904125E-1","9.4040176891278426E-1","1.0000000000081499E+0","1.215058560962404E-2"
"1345","1.0113490772081906E+0","-8.1493176546723550E-28","1.3135120812882093E-32","1.3547384603933829E-13","6.9667714812052317E-1","-1.9146677681108777E-31","3.5019117073745201E+0","2.1300696536036828E-1","9.4418613642571536E-1","1.0000000000030800E+0","1.215058560962404E-2"
"1344","1.0114096671442361E+0","6.7170489972848350E-28","-2.9703654913004695E-33","-7.9107813458225330E-14","6.9569862453923581E-1","-1.4922590453180323E-31","3.5006230568536698E+0","2.1386510130697522E-1","9.4798995599839486E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1343","1.0114704693640819E+0","-1.1835301853256819E-27","-5.7005157732745274E-33","-3.6710085754296267E-13","6.9472028485457549E-1","-1.3652153774630821E-31","3.4993366832864399E+0","2.1472765199032087E-1","9.5181334457069655E-1","1.0000000000246501E+0","1.215058560962404E-2"
"1342","1.0115314846813235E+0","-8.2906694206563841E-28","7.5168161757681997E-33","1.0975113050712078E-13","6.9374213087273218E-1","-2.0361217252287977E-31","3.4980525878503701E+0","2.1559464396140177E-1","9.5565641983399630E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1341","1.0115927139115477E+0","-3.2954996209472919E-27","2.8101955697933016E-34","-1.9758872239099464E-13","6.9276416441929167E-1","-1.7123407400518649E-31","3.4967707717297101E+0","2.1646610394168928E-1","9.5951930023532606E-1","1.0000000000032301E+0","1.215058560962404E-2"
"1340","1.0116541578723088E+0","-1.9748675906637151E-27","-5.9313711088325165E-33","6.6762518634926626E-14","6.9178638734002929E-1","-6.2123089689544645E-32","3.4954912361146602E+0","2.1734205882418225E-1","9.6340210498203960E-1","1.0000000000047100E+0","1.215058560962404E-2"
"1339","1.0117158173831302E+0","-2.6447081278614848E-28","1.6373460812603643E-34","-1.4698774153709120E-13","6.9080880150003443E-1","2.3653113950127341E-31","3.4942139822018898E+0","2.1822253567435429E-1","9.6730495404601158E-1","1.0000000000101801E+0","1.215058560962404E-2"
"1338","1.0117776932654134E+0","1.5024214135749906E-27","-5.4669343928485846E-33","-3.0074752477405619E-13","6.8983140878603799E-1","-1.0565277397507074E-31","3.4929390111945300E+0","2.1910756173115983E-1","9.7122796816809698E-1","1.0000000000114799E+0","1.215058560962404E-2"
"1337","1.0118397863425026E+0","2.0562557531818002E-27","-1.0941347868504276E-32","-1.4718269503173325E-13","6.8885421110399836E-1","3.8281054989330549E-32","3.4916663243020301E+0","2.1999716440802203E-1","9.7517126886251071E-1","1.0000000000011400E+0","1.215058560962404E-2"
"1336","1.0119020974395663E+0","-5.2093711665402307E-28","-9.2888445222740276E-34","4.8496329424627411E-14","6.8787721038205318E-1","-2.4614691838986989E-31","3.4903959227403898E+0","2.2089137129382469E-1","9.7913497842122355E-1","1.0000000000065601E+0","1.215058560962404E-2"
"1335","1.0119646273836573E+0","-1.6821682414945550E-27","-6.0368633697886664E-33","-1.3067159733760651E-14","6.8690040856820123E-1","-1.8328778115761436E-32","3.4891278077321100E+0","2.2179021015388578E-1","9.8311921991827766E-1","1.0000000000007201E+0","1.215058560962404E-2"
"1334","1.0120273770036274E+0","-1.1364975884978878E-27","-1.4680161200244138E-33","-7.6145774546159176E-14","6.8592380763239191E-1","1.7745808149392034E-31","3.4878619805060800E+0","2.2269370893099774E-1","9.8712411721439886E-1","1.0000000000076701E+0","1.215058560962404E-2"
"1333","1.0120903471301115E+0","-3.6738678103454642E-27","3.9483092002594404E-33","5.4107430239501937E-15","6.8494740956623268E-1","1.3307385983512047E-31","3.4865984422978902E+0","2.2360189574639053E-1","9.9114979496126399E-1","1.0000000000076501E+0","1.215058560962404E-2"
"1332","1.0121535385955316E+0","-2.5241268559312724E-28","-1.8036539199887476E-33","-1.9559672500053014E-13","6.8397121638241887E-1","-3.3901539196358969E-32","3.4853371943496199E+0","2.2451479890071546E-1","9.9519637860586285E-1","1.0000000000101701E+0","1.215058560962404E-2"
"1331","1.0122169522340121E+0","6.6167204739795644E-28","2.3943027297364993E-33","2.0206080656151702E-15","6.8299523011658647E-1","1.1759871180541522E-31","3.4840782379099999E+0","2.2543244687508696E-1","9.9926399439511582E-1","1.0000000000177400E+0","1.215058560962404E-2"
"1330","1.0122805888813964E+0","4.4705752975835229E-28","-1.2540784991634591E-32","-1.5152582506040870E-13","6.8201945282615861E-1","2.5471307486273013E-31","3.4828215742344200E+0","2.2635486833204002E-1","1.0033527693801181E+0","1.0000000000290199E+0","1.215058560962404E-2"
"1329","1.0123444493751854E+0","4.4212896128601161E-27","2.8956011118522949E-33","9.3860615414571006E-14","6.8104388659156589E-1","-2.1891193679544234E-31","3.4815672045848900E+0","2.2728209211654316E-1","1.0074628314206286E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1328","1.0124085345545319E+0","4.2728728145405780E-27","-1.6684508372774728E-32","3.1905724861414500E-14","6.8006853351564400E-1","3.0503570590278806E-31","3.4803151302302400E+0","2.2821414725698946E-1","1.0115943091894655E+0","1.0000000000098701E+0","1.215058560962404E-2"
"1327","1.0124728452601890E+0","-1.5484570469476410E-27","-9.0572780126337910E-33","1.5511211864397421E-13","6.7909339572461225E-1","5.2935971272896427E-31","3.4790653524459301E+0","2.2915106296621604E-1","1.0157473321770216E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1326","1.0125373823344657E+0","1.6402013891368542E-27","5.8289649797247558E-33","9.5558265161676022E-14","6.7811847536848013E-1","1.2956261118944027E-31","3.4778178725142999E+0","2.3009286864247372E-1","1.0199220306955661E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1325","1.0126021466212531E+0","-9.7538215819926753E-28","-8.2995719865090068E-33","-3.1040480609127838E-13","6.7714377461966757E-1","3.1000042980337300E-31","3.4765726917244999E+0","2.3103959387042469E-1","1.0241185358836637E+0","1.0000000000258800E+0","1.215058560962404E-2"
"1324","1.0126671389658990E+0","-6.0210907561617399E-28","-8.2576714903739464E-33","2.6860593721714591E-14","6.7616929567610973E-1","1.6691417928568862E-31","3.4753298113722102E+0","2.3199126842220241E-1","1.0283369797108761E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1323","1.0127323602152445E+0","4.1055283761282564E-28","3.8748349258612933E-33","-2.9630909523675179E-13","6.7519504075884784E-1","-1.9227264871823750E-31","3.4740892327605102E+0","2.3294792225828698E-1","1.0325774949816393E+0","1.0000000000184199E+0","1.215058560962404E-2"
"1322","1.0127978112175624E+0","6.9031758948760801E-28","-3.6379642734694597E-33","1.2721436495013272E-13","6.7422101211378394E-1","-1.5687959526978118E-32","3.4728509571988302E+0","2.3390958552863400E-1","1.0368402153402685E+0","1.0000000000080000E+0","1.215058560962404E-2"
"1321","1.0128634928225018E+0","1.9039194411263067E-27","-8.3318716325337262E-33","4.4932667342561899E-14","6.7324721201179338E-1","1.1619714638104279E-31","3.4716149860039498E+0","2.3487628857356371E-1","1.0411252752748998E+0","1.0000000000127300E+0","1.215058560962404E-2"
"1320","1.0129294058810787E+0","8.9210689857911839E-29","-2.5507081305851587E-33","6.7775844624721853E-14","6.7227364274865109E-1","-1.0235029312609657E-31","3.4703813204993499E+0","2.3584806192482774E-1","1.0454328101222190E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1319","1.0129955512456066E+0","-5.8436648533775161E-28","1.5911800099997575E-33","-1.4456516566830581E-14","6.7130030664584772E-1","-4.1219673316951186E-32","3.4691499620156900E+0","2.3682493630654730E-1","1.0497629560716184E+0","1.0000000000065601E+0","1.215058560962404E-2"
"1318","1.0130619297697008E+0","1.0040221486068937E-27","7.0689278488499532E-33","8.8978425774664933E-15","6.7032720604989482E-1","5.8697605111700433E-33","3.4679209118904799E+0","2.3780694263625263E-1","1.0541158501698062E+0","1.0000000000075200E+0","1.215058560962404E-2"
"1317","1.0131285423081948E+0","-1.4428182036951431E-28","3.8576139336217468E-33","8.7070467956052438E-14","6.6935434333362442E-1","-2.2712173040090729E-31","3.4666941714683301E+0","2.3879411202583209E-1","1.0584916303250134E+0","1.0000000000000000E+0","1.215058560962404E-2"
"1316","1.0131953897170929E+0","6.9361370975722102E-28","-5.1362784848798294E-34","9.9368203895176117E-14","6.6838172089661396E-1","6.0209781615749363E-32","3.4654697421010399E+0","2.3978647578253892E-1","1.0628904353114546E+0","1.0000000000000000E+0","1.215058560962404E-2"
