"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1249","7.8238338906632610E-1","-9.6450643837285686E-29","-1.1277601721618780E-15","-2.8274501611883817E-15","4.4001109799932431E-1","5.0629676308870608E-2","3.0208374660759900E+0","3.9520274666159665E+0","1.7517969604606670E+1","2.0130771891268699E+2","1.215058560962404E-2"
"1250","7.8238338906632610E-1","-9.6450643837285686E-29","1.1277601721618780E-15","-2.8274501611883817E-15","4.4001109799932431E-1","-5.0629676308870608E-2","3.0208374660759900E+0","3.9520274666159665E+0","1.7517969604606670E+1","2.0130771891268699E+2","1.215058560962404E-2"
"1248","7.8240082178928827E-1","5.1262570616986738E-28","-8.2251427111216140E-16","-5.5437596331131110E-15","4.3994246012539323E-1","5.1170429020652490E-2","3.0208255725927500E+0","3.9520710222336786E+0","1.7518162671581440E+1","2.0132832804034501E+2","1.215058560962404E-2"
"1247","7.8241843732960537E-1","-7.0552699384443875E-28","-6.5153541611739738E-16","-3.2820535266897258E-15","4.3987310207529456E-1","5.1711044222404932E-2","3.0208135566067198E+0","3.9521150287270874E+0","1.7518357737132085E+1","2.0134914990226301E+2","1.215058560962404E-2"
"1246","7.8243623556640174E-1","-3.3442738296939242E-29","-9.5278958375828908E-16","-6.3331494762971667E-16","4.3980302431221518E-1","5.2251520537054105E-2","3.0208014182700702E+0","3.9521594856081075E+0","1.7518554799095092E+1","2.0137018425055601E+2","1.215058560962404E-2"
"1245","7.8245421637764179E-1","1.2824529888067715E-27","-1.5521722370079615E-15","-4.0134858666093926E-15","4.3973222730371492E-1","5.2791856590217304E-2","3.0207891577364099E+0","3.9522043923841537E+0","1.7518753855286999E+1","2.0139143083378900E+2","1.215058560962404E-2"
"1244","7.8247237964015026E-1","4.4961781868511416E-28","-7.3025531879565415E-16","-3.5128098563273898E-15","4.3966071152165115E-1","5.3332051010214696E-2","3.0207767751608401E+0","3.9522497485576640E+0","1.7518954903502287E+1","2.0141288939793100E+2","1.215058560962404E-2"
"1243","7.8249072522959084E-1","1.3457832709456840E-28","-4.0478813335384328E-16","1.0438322207456777E-15","4.3958847744225643E-1","5.3872102428105827E-2","3.0207642706998299E+0","3.9522955536267084E+0","1.7519157941516074E+1","2.0143455968726900E+2","1.215058560962404E-2"
"1242","7.8250925302050300E-1","-4.9146169210365143E-28","-1.1696642296662568E-15","-1.8243136538337031E-15","4.3951552554603240E-1","5.4412009477702125E-2","3.0207516445113498E+0","3.9523418070844296E+0","1.7519362967081641E+1","2.0145644144308699E+2","1.215058560962404E-2"
"1241","7.8252796288628301E-1","-1.9387915452970969E-30","-1.2985793998258716E-15","-2.4984822930662415E-15","4.3944185631775340E-1","5.4951770795594622E-2","3.0207388967547799E+0","3.9523885084193040E+0","1.7519569977931575E+1","2.0147853440549801E+2","1.215058560962404E-2"
