"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1101","-1.0051511930144594E+0","1.7908865805732633E-23","1.1120303530621545E-23","1.2834431360140230E-13","1.7896462404259192E-4","-1.8908467371201916E-22","3.0121471423402300E+0","6.2183903309986484E+0","2.7563971588813811E+1","1.6766949558226900E+0","1.215058560962404E-2"
"1100","-1.0053501277667540E+0","2.0979360239529839E-23","-4.2384737291407669E-23","1.5302369518639078E-13","5.8100721889493107E-4","2.5091460696175086E-22","3.0121470627676001E+0","6.2183903337458855E+0","2.7563971600991366E+1","1.6766949151880399E+0","1.215058560962404E-2"
"1099","-1.0043554504460082E+0","-1.5654814729203990E-23","-7.2612880817910397E-23","1.8996825179827909E-13","-1.4296095164526513E-3","-8.4809561042752210E-23","3.0121466186869399E+0","6.2183903493222790E+0","2.7563971670036121E+1","1.6766946884653899E+0","1.215058560962404E-2"
"1098","-1.0063447960380365E+0","1.5579525200784974E-23","-3.1016920852527129E-23","1.9215076355371835E-13","2.5906154473309775E-3","-1.0469205219853163E-22","3.0121454019885499E+0","6.2183903918584509E+0","2.7563971858584246E+1","1.6766940672491100E+0","1.215058560962404E-2"
"1097","-1.0033607644562308E+0","1.8650019634595722E-23","-9.2768177320262342E-23","1.2875486627531294E-13","-3.4412369972000446E-3","9.7873864875938947E-23","3.0121440697460602E+0","6.2183904384537572E+0","2.7563972065125110E+1","1.6766933870411800E+0","1.215058560962404E-2"
"1096","-1.0073394548843553E+0","3.2975474655991598E-24","7.1036848719793966E-23","1.5058894157506039E-13","4.5992174096163079E-3","3.6651937888948323E-24","3.0121416363478000E+0","6.2183905235493171E+0","2.7563972442324264E+1","1.6766921446145999E+0","1.215058560962404E-2"
"1095","-1.0023660701827821E+0","-6.0198149542050171E-24","3.5723311155275665E-23","1.5822651088129433E-13","-5.4538774595539134E-3","-6.0283466729274349E-23","3.0121394159419799E+0","6.2183906012080206E+0","2.7563972786558416E+1","1.6766910109397399E+0","1.215058560962404E-2"
"1094","-1.0083341039351283E+0","2.4505145183167409E-24","-1.9656505975969981E-22","1.4402799454833622E-13","6.6068153488002502E-3","2.7521435974352909E-22","3.0121357658408301E+0","6.2183907288547955E+0","2.7563973352372376E+1","1.6766891472984999E+0","1.215058560962404E-2"
"1093","-1.0013713680159613E+0","-4.9610237701666927E-24","1.2377853676520277E-22","1.2561872249534337E-13","-7.4675331374429834E-3","-1.0197353870930423E-22","3.0121326572693699E+0","6.2183908375697978E+0","2.7563973834268346E+1","1.6766875601505400E+0","1.215058560962404E-2"
"1092","-1.0093287428246938E+0","6.5056950541984159E-25","-9.7022697427618762E-23","1.5727066773683164E-13","8.6134115102074003E-3","1.7326534703831699E-22","3.0121277904605299E+0","6.2183910077712401E+0","2.7563974588712419E+1","1.6766850752976501E+0","1.215058560962404E-2"
