"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1020","6.3891964038363835E-1","-4.2544999999999999E-1","6.3338764777407142E-1","3.1073088790628428E-1","-4.8651604983496066E-1","-6.4806934253088289E-1","1.8346645510604800E+0","6.2976761954249154E+0","2.7915418377791624E+1","1.0012075458919700E+0","1.215058560962404E-2"
"1019","6.3955326243682464E-1","-4.2544999999999999E-1","6.3274161144086349E-1","3.0982781681843014E-1","-4.8841921554032475E-1","-6.4941659491324288E-1","1.8324501326213301E+0","6.2976981938990484E+0","2.7915515889411790E+1","1.0012301592151300E+0","1.215058560962404E-2"
"1018","6.4018533933193122E-1","-4.2544999999999999E-1","6.3209587740041295E-1","3.0892199813116505E-1","-4.9032236703866988E-1","-6.5076084551284596E-1","1.8302276539848401E+0","6.2977202465590141E+0","2.7915613641218993E+1","1.0012527486101701E+0","1.215058560962404E-2"
"1017","6.4081586992581330E-1","-4.2544999999999999E-1","6.3145045261033106E-1","3.0801344002327141E-1","-4.9222550683083760E-1","-6.5210208371349931E-1","1.8279971230986301E+0","6.2977423530546162E+0","2.7915711631660940E+1","1.0012753132408401E+0","1.215058560962404E-2"
"1016","6.4144485309235177E-1","-4.2544999999999999E-1","6.3080534403440369E-1","3.0710215068210023E-1","-4.9412863742281948E-1","-6.5344029889957056E-1","1.8257585479609899E+0","6.2977645130348634E+0","2.7915809859181799E+1","1.0012978522753500E+0","1.215058560962404E-2"
"1015","6.4207228771750458E-1","-4.2544999999999999E-1","6.3016055864063092E-1","3.0618813830746833E-1","-4.9603176132001459E-1","-6.5477548045787914E-1","1.8235119366239001E+0","6.2977867261480114E+0","2.7915908322222414E+1","1.0013203648861599E+0","1.215058560962404E-2"
"1014","6.4269817270508811E-1","-4.2544999999999999E-1","6.2951610340335640E-1","3.0527141110687406E-1","-4.9793488103328370E-1","-6.5610761777538540E-1","1.8212572971902199E+0","6.2978089920415501E+0","2.7916007019220221E+1","1.0013428502498101E+0","1.215058560962404E-2"
"1013","6.4332250697403759E-1","-4.2544999999999999E-1","6.2887198530195820E-1","3.0435197729765101E-1","-4.9983799907538778E-1","-6.5743670024030643E-1","1.8189946378158699E+0","6.2978313103622154E+0","2.7916105948609339E+1","1.0013653075463100E+0","1.215058560962404E-2"
"1012","6.4394528945692220E-1","-4.2544999999999999E-1","6.2822821131962492E-1","3.0342984510812532E-1","-5.0174111795860588E-1","-6.5876271724299729E-1","1.8167239667116899E+0","6.2978536807559857E+0","2.7916205108820503E+1","1.0013877359605201E+0","1.215058560962404E-2"
"1011","6.4456651910474327E-1","-4.2544999999999999E-1","6.2758478844539134E-1","3.0250502277369923E-1","-5.0364424020025134E-1","-6.6008565817386722E-1","1.8144452921403600E+0","6.2978761028680958E+0","2.7916304498281161E+1","1.0014101346814299E+0","1.215058560962404E-2"
"1010","6.4518619488323969E-1","-4.2544999999999999E-1","6.2694172367260070E-1","3.0157751853961218E-1","-5.0554736831773661E-1","-6.6140551242478329E-1","1.8121586224195101E+0","6.2978985763430586E+0","2.7916404115415563E+1","1.0014325029021500E+0","1.215058560962404E-2"
"1009","6.4580431577153508E-1","-4.2544999999999999E-1","6.2629902399735182E-1","3.0064734066214654E-1","-5.0745050482633014E-1","-6.6272226939016521E-1","1.8098639659235700E+0","6.2979211008246585E+0","2.7916503958644732E+1","1.0014548398200600E+0","1.215058560962404E-2"
"1008","6.4642088076515536E-1","-4.2544999999999999E-1","6.2565669642076538E-1","2.9971449740586587E-1","-5.0935365224296969E-1","-6.6403591846505372E-1","1.8075613310811900E+0","6.2979436759559730E+0","2.7916604026386551E+1","1.0014771446368900E+0","1.215058560962404E-2"
"1007","6.4703588887626551E-1","-4.2544999999999999E-1","6.2501474794710010E-1","2.9877899704368993E-1","-5.1125681308496762E-1","-6.6534644904603568E-1","1.8052507263774700E+0","6.2979663013793630E+0","2.7916704317055729E+1","1.0014994165587201E+0","1.215058560962404E-2"
"1006","6.4764933913355716E-1","-4.2544999999999999E-1","6.2437318558493737E-1","2.9784084785660098E-1","-5.1315998987031430E-1","-6.6665385053051518E-1","1.8029321603530799E+0","6.2979889767364927E+0","2.7916804829063885E+1","1.0015216547960399E+0","1.215058560962404E-2"
"1005","6.4826123058014939E-1","-4.2544999999999999E-1","6.2373201634521402E-1","2.9690005813544496E-1","-5.1506318511443727E-1","-6.6795811231815827E-1","1.8006056416068299E+0","6.2980117016683321E+0","2.7916905560819572E+1","1.0015438585638099E+0","1.215058560962404E-2"
"1004","6.4887156227649556E-1","-4.2544999999999999E-1","6.2309124724281284E-1","2.9595663617836998E-1","-5.1696640133334881E-1","-6.6925922380934055E-1","1.7982711787939600E+0","6.2980344758151761E+0","2.7917006510728335E+1","1.0015660270811999E+0","1.215058560962404E-2"
"1003","6.4948033329805399E-1","-4.2544999999999999E-1","6.2245088529480663E-1","2.9501059029272303E-1","-5.1886964104023481E-1","-6.7055717440653151E-1","1.7959287806286000E+0","6.2980572988166399E+0","2.7917107677192718E+1","1.0015881595720699E+0","1.215058560962404E-2"
"1002","6.5008754273735592E-1","-4.2544999999999999E-1","6.2181093752100536E-1","2.9406192879332121E-1","-5.2077290674734955E-1","-6.7185195351349059E-1","1.7935784558831100E+0","6.2980801703116738E+0","2.7917209058612304E+1","1.0016102552645401E+0","1.215058560962404E-2"
"1001","6.5069318970274370E-1","-4.2544999999999999E-1","6.2117141094391648E-1","2.9311066000324237E-1","-5.2267620096457212E-1","-6.7314355053547348E-1","1.7912202133886801E+0","6.2981030899385777E+0","2.7917310653383812E+1","1.0016323133917000E+0","1.215058560962404E-2"
"1000","6.5129727331870790E-1","-4.2544999999999999E-1","6.2053231258777519E-1","2.9215679225362595E-1","-5.2457952619881343E-1","-6.7443195487964192E-1","1.7888540620365401E+0","6.2981260573349891E+0","2.7917412459901001E+1","1.0016543331909900E+0","1.215058560962404E-2"
"999","6.5189979272639942E-1","-4.2544999999999999E-1","6.1989364947904380E-1","2.9120033388308708E-1","-5.2648288495450613E-1","-6.7571715595460269E-1","1.7864800107776200E+0","6.2981490721379272E+0","2.7917514476554917E+1","1.0016763139041800E+0","1.215058560962404E-2"
"998","6.5250074708368466E-1","-4.2544999999999999E-1","6.1925542864589223E-1","2.9024129323763942E-1","-5.2838627973306274E-1","-6.7699914317061349E-1","1.7840980686233401E+0","6.2981721339837575E+0","2.7917616701733689E+1","1.0016982547777400E+0","1.215058560962404E-2"
"997","6.5310013556413715E-1","-4.2544999999999999E-1","6.1861765711764782E-1","2.8927967867136178E-1","-5.3028971303121009E-1","-6.7827790594005677E-1","1.7817082446468600E+0","6.2981952425082524E+0","2.7917719133822818E+1","1.0017201550633501E+0","1.215058560962404E-2"
"996","6.5369795735868186E-1","-4.2544999999999999E-1","6.1798034192515472E-1","2.8831549854504490E-1","-5.3219318734251109E-1","-6.7955343367679910E-1","1.7793105479824600E+0","6.2982183973465453E+0","2.7917821771204984E+1","1.0017420140165501E+0","1.215058560962404E-2"
"995","6.5429421167502588E-1","-4.2544999999999999E-1","6.1734349010052347E-1","2.8734876122651520E-1","-5.3409670515648588E-1","-6.8082571579639761E-1","1.7769049878262000E+0","6.2982415981331750E+0","2.7917924612260215E+1","1.0017638308979400E+0","1.215058560962404E-2"
